route,period,passengers,is_eid_holiday,is_school_year_end,is_year_end_holiday
3B,2023-05-01,51716.0,0,0,0
3B,2023-06-01,46177.0,0,1,0
3B,2023-07-01,52542.0,0,1,0
3B,2023-08-01,55565.0,0,0,0
3B,2023-09-01,55428.0,0,0,0
3B,2023-10-01,57667.0,0,0,0
3B,2023-11-01,55578.0,0,0,0
3B,2023-12-01,56566.0,0,0,1
3B,2024-01-01,53210.0,0,0,0
3B,2024-02-01,65884.0,0,0,0
3B,2024-03-01,75839.0,0,0,0
3B,2024-04-01,77729.0,1,0,0
3B,2024-05-01,86779.0,0,0,0
3B,2024-06-01,83238.0,0,1,0
3B,2024-07-01,102657.0,0,1,0
3B,2024-08-01,107626.0,0,0,0
3B,2024-09-01,111227.0,0,0,0
3B,2024-10-01,112075.0,0,0,0
3B,2024-11-01,102271.0,0,0,0
3B,2024-12-01,98183.0,0,0,1
3B,2025-01-01,87086.0,0,0,0
3B,2025-02-01,91830.0,0,0,0
3B,2025-03-01,66198.0,1,0,0
3B,2025-04-01,70502.0,1,0,0
3B,2025-05-01,95264.0,0,0,0
3B,2025-06-01,66140.0,0,1,0
3B,2025-07-01,80668.0,0,1,0
3B,2025-08-01,76119.0,0,0,0
3B,2025-09-01,86111.0,0,0,0
3B,2025-10-01,90206.0,0,0,0
3B,2025-11-01,80522.0,0,0,0
3B,2025-12-01,81238.0,0,0,1
4A,2023-01-01,7627.0,0,0,0
4A,2023-02-01,7939.0,0,0,0
4A,2023-03-01,8528.0,0,0,0
4A,2023-04-01,6374.0,1,0,0
4A,2023-05-01,8335.0,0,0,0
4A,2023-06-01,7383.0,0,1,0
4A,2023-07-01,8492.0,0,1,0
4A,2023-08-01,8866.0,0,0,0
4A,2023-09-01,10312.0,0,0,0
4A,2023-10-01,10774.0,0,0,0
4A,2023-11-01,9853.0,0,0,0
4A,2023-12-01,9433.0,0,0,1
4A,2024-01-01,8472.0,0,0,0
4A,2024-02-01,11406.0,0,0,0
4A,2024-03-01,10879.0,0,0,0
4A,2024-04-01,9671.0,1,0,0
4A,2024-05-01,12346.0,0,0,0
4A,2024-06-01,10140.0,0,1,0
4A,2024-07-01,10928.0,0,1,0
4A,2024-08-01,12511.0,0,0,0
4A,2024-09-01,13915.0,0,0,0
4A,2024-10-01,17326.0,0,0,0
4A,2024-11-01,15443.0,0,0,0
4A,2024-12-01,20564.0,0,0,1
4A,2025-01-01,24844.0,0,0,0
4A,2025-02-01,14984.0,0,0,0
4A,2025-03-01,14055.0,1,0,0
4A,2025-04-01,17746.0,1,0,0
4A,2025-05-01,17997.0,0,0,0
4A,2025-06-01,18757.0,0,1,0
4A,2025-07-01,20304.0,0,1,0
4A,2025-08-01,20568.0,0,0,0
4A,2025-09-01,20889.0,0,0,0
4A,2025-10-01,24154.0,0,0,0
